id;store_id;checklist_item_id;criteria;severity;reference_photos;created_at;updated_at;enabled
63c85e18-dca9-492a-be6e-ccd25bc3c803;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;7c05cf3f-c650-46f7-a3de-f0fae40c6f80;;medium;[];2025-12-28 15:26:19.914855+00;2025-12-28 15:26:19.402+00;false
aec8ad95-6005-4db3-a689-7db182096de5;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;c4f032b7-4a46-4784-9b0f-b3e81d34a7f5;;medium;[];2025-12-28 15:26:53.77182+00;2025-12-28 15:26:53.134+00;false
03428eb2-1cb3-48c8-b07c-760feac62204;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;f745eec3-c828-4bc6-a479-f17bda48e2d6;;medium;[];2025-12-28 15:26:56.195684+00;2025-12-28 15:26:55.616+00;false
85c89c6e-547c-4eb3-ab59-95131ab00749;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;18065bb8-582d-417e-9719-462a1e5a642c;;medium;[];2025-12-28 15:26:58.363416+00;2025-12-28 15:26:57.756+00;false
40294644-557d-4379-b69b-2141b699567b;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;397ce167-76f0-4fef-b995-ed50a94da587;;medium;[];2025-12-28 15:27:02.543559+00;2025-12-28 15:27:01.948+00;false
d26d894d-086e-41a8-a7b2-e68571b3f210;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;7af48802-03d5-4c3c-a328-bac003d9d1f8;;medium;[];2025-12-28 15:27:04.500862+00;2025-12-28 15:27:03.956+00;false
6a620f56-34a7-4787-a09b-3af890985979;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;3ee96efb-b0eb-4916-8608-9475fd12d30a;;medium;[];2025-12-28 15:27:07.266164+00;2025-12-28 15:27:06.666+00;false
ea2f024e-5d5c-4a39-b12f-ca18a204860b;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;728b19fe-10c9-486a-81eb-f09d387a8dbc;;medium;[];2025-12-28 15:27:09.36071+00;2025-12-28 15:27:08.792+00;false
aa8731e8-b59b-4be7-b81a-3d1ed6acd7c7;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;05353c4c-5240-440d-b1d9-faebd362e9c8;;medium;[];2025-12-28 15:27:12.158665+00;2025-12-28 15:27:11.592+00;false
3432e66c-201f-400a-a2f7-1619eec60a18;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;cfd02990-cdf0-46c5-bc27-f6f4556ff8d0;;medium;[];2025-12-28 15:27:17.496902+00;2025-12-28 15:27:16.968+00;false
bdae2458-de0b-460d-b65f-1222649c1898;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;63cd2324-9dc0-4cb9-95a3-679c30736210;Ar condicionado desligado, abas do lado direto fechado, sem luz de ligado acesa.;high;"[""https://qwetfynfpfjruswdnaps.supabase.co/storage/v1/object/public/inspection-references/d2118d7f-a6d2-4cea-a077-3d93a0cb5663/63cd2324-9dc0-4cb9-95a3-679c30736210/1766523866215.jpg""]";2025-12-23 21:04:34.538724+00;2025-12-28 15:27:39.560885+00;false
b10c09b6-7760-4e7d-82b6-cbc542e0c4f1;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;ec9215d1-7332-4b89-b7c3-8ad41dc81a44;;medium;[];2025-12-28 15:27:41.706317+00;2025-12-28 15:27:40.986+00;false
1e74fe77-8f58-41d9-bcab-860f3855d85e;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;f313425b-642e-4f3c-97ef-ab959650df15;;medium;[];2025-12-28 15:27:47.710564+00;2025-12-28 15:27:47.15+00;false
0bc1e495-9b3f-4bd2-9e34-e4880bd62b2a;d2118d7f-a6d2-4cea-a077-3d93a0cb5663;9bd2c483-80bd-40dd-846b-9d249d9b46fa;;medium;[];2025-12-28 15:28:04.310998+00;2025-12-28 15:28:03.642+00;false
