id;nome;created_at;updated_at;organization_id;endereco;telefone;cnpj;status;email_contato;whatsapp_recipients
d2118d7f-a6d2-4cea-a077-3d93a0cb5663;Bendito Boteco - Pedra Branca;2025-10-03 01:11:06.033829+00;2025-12-24 17:17:32.816288+00;cc017987-5359-4e9b-bf47-43bc03d0d21c;;;;active;;"[""5548996161451"",""5548999697669""]"
9cc8182f-5502-4416-a701-05665a56088f;Z Smash Burger;2025-10-03 01:11:06.033829+00;2025-12-26 14:51:03.342716+00;cc017987-5359-4e9b-bf47-43bc03d0d21c;;;;active;;"[""5548996161451"",""5548999697669""]"
ee15ca04-eb0b-4d53-96b4-b45b7e1c42f9;Bendito Boteco - Mercadoteca;2025-10-03 01:11:06.033829+00;2025-12-28 15:11:44.44903+00;cc017987-5359-4e9b-bf47-43bc03d0d21c;;;;active;;"[""5548996161451"",""5548999697669""]"
